Add New Category,Adauga Categorie Noua
OG Type,OG Type
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
ConfigArea in Websites,ConfigArea in Websites
Related Design Areas and Products,Related Design Areas and Products
Related configareas are shown to customers in addition to the item the customer is looking at.,Related configareas are shown to customers in addition to the item the customer is looking at.
Add Related ConfigArea,Adauga ConfigAreaare Similara
Add Related Design Areas,Adauga ConfigAreaari Similare
Add Selected Design Areas,Adauga ConfigAreaarile Selectate
"January","Ianuarie"
"February","Februarie"
"March","Martie"
"April","Aprilie"
"May","Mai"
"June","Iunie"
"July","Iulie"
"August","August"
"September","Septembrie"
"October","Octombrie"
"November","Noiembrie"
"December","Decembrie"
"Jan","Ian"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","Mai"
"Jun","Iun"
"Jul","Iul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Noi"
"Dec","Dec"
