Add New Category,Adauga Categorie Noua
Publish Date,Data Publicarii
New Tag,Tag Nou
Open Graph Metadata,Open Graph Metadata
OG Title,OG Title
Leave blank to use Meta Title by default.,Leave blank to use Meta Title by default.
OG Description,OG Description
Leave blank to use Meta Description by default.,Leave blank to use Meta Description by default.
OG Image,OG Image
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png."
OG Type,OG Type
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
Size in Websites,Size in Websites
Related Sizes and Products,Related Sizes and Products
Related sizes are shown to customers in addition to the item the customer is looking at.,Related sizes are shown to customers in addition to the item the customer is looking at.
Add Related Size,Adauga Sizeare Similara
Add Related Sizes,Adauga Sizeari Similare
Add Selected Sizes,Adauga Sizearile Selectate
"January","Ianuarie"
"February","Februarie"
"March","Martie"
"April","Aprilie"
"May","Mai"
"June","Iunie"
"July","Iulie"
"August","August"
"September","Septembrie"
"October","Octombrie"
"November","Noiembrie"
"December","Decembrie"
"Jan","Ian"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","Mai"
"Jun","Iun"
"Jul","Iul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Noi"
"Dec","Dec"
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Sizes","Import Sizes"
"Import from aheadWorks Sheet Extension","Import from aheadWorks Sheet Extension"
"Import from Joomla","Import from Joomla"
"Import from Sheetger.com","Import from Sheetger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
