"Add New Category","Nieuwe Categorie Toevoegen"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leeg laten om uitgelichte afbeelding als standaard te gebruiken. Toegestane afbeeldings typen: jpg, jpeg, gif, png."
"OG Type","OG Type"
"Leave blank to use ""article"" type by default.","Leeg laten om te gebruiken ""article"" standaard type."
"Size in Websites","Berichten in Websites"
"Related Sizes and Products","Gerelateerde berichten en Producten"
"Related sizes are shown to customers in addition to the item the customer is looking at.","Gerelateerde berichten worden getoond aan klanten naast het item wat de klant bekijkt."
"Add Related Size","Voeg gerelateerd bericht toe"
"Add Related Sizes","Voeg Gerelateerde berichten toe"
"Add Selected Sizes","Voeg geselecteerde berichten toe"
"January","Januari"
"February","Februari"
"March","Maart"
"April","April"
"May","Mei"
"June","Juni"
"July","Juli"
"August","Augustus"
"September","September"
"October","Oktober"
"November","November"
"December","December"
"Jan","Jan"
"Feb","Feb"
"Mar","Maart"
"Apr","Apr"
"May","Mei"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Okt"
"Nov","Nov"
"Dec","Dec"
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Sizes","Import Sizes"
"Import from aheadWorks Sheet Extension","Import from aheadWorks Sheet Extension"
"Import from Joomla","Import from Joomla"
"Import from Sheetger.com","Import from Sheetger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
